,0,1,2
scope,scope_1,scope_2,scope_3
imputer,RevenueQuantileBucketImputer,RevenueQuantileBucketImputer,RevenueQuantileBucketImputer
fin_transformer,RobustScaler,RobustScaler,RobustScaler
cat_transformer,TargetEncoder,TargetEncoder,TargetEncoder
scope_transformer,LogTargetScaler,DummyTargetScaler,DummyTargetScaler
preprocessor,IIDPreprocessor,IIDPreprocessor,IIDPreprocessor
feature_selector,DummyFeatureReducer,DummyFeatureReducer,DummyFeatureReducer
scope_estimator,MiniModelArmyEstimator,MiniModelArmyEstimator,MiniModelArmyEstimator
pipeline,DefaultPipeline,DefaultPipeline,DefaultPipeline
stats.optimise.time,264.22585892677307,259.4319541454315,221.5971803665161
stats.optimise.num_datapoints,10313,9896,5907
stats.fit.time,78.06887698173523,68.05202889442444,58.99043011665344
stats.fit.num_datapoints,10313,9896,5907
stats.fit_confidence.time,2.070476531982422,2.517951488494873,1.7874150276184082
stats.fit_confidence.num_datapoints,10313,9896,5907
raw.evaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator
raw.sMAPE,0.49329108983399544,0.453469313972534,0.7428708104141856
raw.R2,0.9185709618978135,0.39184070203244425,0.40425535683133873
raw.MAE,20480.109332397493,31373.866011826816,38893.42084608114
raw.RMSE,3911095.947216991,2530379.1499505765,71156846.2892497
raw.MAPE,14.287044759418372,16.558470930273337,181.1863318209504
raw.offset_percentile.50%,1.3574874490676587,1.30443514011785,1.7021052877928842
raw.offset_percentile.75%,2.06006786467485,1.869668425529953,4.29023214781395
raw.offset_percentile.90%,5.042290759064783,4.420472973958554,27.18653248958612
raw.offset_percentile.95%,11.839889609702311,9.390642596450014,140.05427222011548
test.n_buckets,5,5,5
test.classifier.evaluator,BucketClassifierEvauator,BucketClassifierEvauator,BucketClassifierEvauator
test.classifier.balanced_accuracy,0.8106990419796476,0.7692081477146884,0.6962149671528497
test.classifier.balanced_precision,0.8098043276144398,0.7668387585198041,0.6932232113398583
test.classifier.balanced_recall,0.8096161302830555,0.768080808080808,0.6946513202437373
test.classifier.balanced_f1,0.8095724136772743,0.7672725114144907,0.6919953308192256
