,0,1,2
scope,scope_1,scope_2,scope_3
imputer,RevenueQuantileBucketImputer,RevenueQuantileBucketImputer,RevenueQuantileBucketImputer
fin_transformer,PowerTransformer,PowerTransformer,PowerTransformer
cat_transformer,TargetEncoder,TargetEncoder,TargetEncoder
scope_transformer,LogTargetScaler,DummyTargetScaler,DummyTargetScaler
preprocessor,IIDPreprocessor,IIDPreprocessor,IIDPreprocessor
feature_selector,DummyFeatureReducer,DummyFeatureReducer,DummyFeatureReducer
scope_estimator,MiniModelArmyEstimator,MiniModelArmyEstimator,MiniModelArmyEstimator
pipeline,DefaultPipeline,DefaultPipeline,DefaultPipeline
stats.optimise.time,463.93292331695557,452.6580867767334,365.0076768398285
stats.optimise.num_datapoints,10313,9896,5907
stats.fit.time,102.60558032989502,94.03222513198853,81.94375896453857
stats.fit.num_datapoints,10313,9896,5907
stats.fit_confidence.time,4.035058975219727,5.675021171569824,2.3682379722595215
stats.fit_confidence.num_datapoints,10313,9896,5907
raw.evaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator
raw.sMAPE,0.4482389978977785,0.44687565468265045,0.73658003934806
raw.R2,0.7567886462398259,0.683786101489953,0.5161053761160013
raw.MAE,21723.05195754679,30893.33174699487,30025.274254218326
raw.RMSE,8583434.54107909,1421015.0663795802,47158082.04616911
raw.MAPE,11.504256910849234,7.635719476900407,902.382994201223
raw.offset_percentile.50%,1.3011047459135876,1.2763985442584398,1.595018420288502
raw.offset_percentile.75%,1.8542852016016074,1.87082062480501,4.650742846304417
raw.offset_percentile.90%,4.085347260979795,4.594697765037262,48.29308960689232
raw.offset_percentile.95%,9.879354049196946,8.631966412284036,234.4517750796306
test.n_buckets,10,10,10
test.classifier.evaluator,BucketClassifierEvauator,BucketClassifierEvauator,BucketClassifierEvauator
test.classifier.balanced_accuracy,0.6996515383633383,0.60872731588549,0.5411649792318174
test.classifier.balanced_precision,0.6982902482999137,0.6113642062733903,0.55017889157268
test.classifier.balanced_recall,0.6983326870880187,0.6113131313131314,0.5463777928232905
test.classifier.balanced_f1,0.6979797141107151,0.6109951653214201,0.5464250012035119
